"Gateway Receive Time","Air pressure (Pa)","PAR","Relative humidity (%)","Temperature","Soil Temperature","Soil Relative Permittivity","Soil Electric Conductivity (dS/m)","YYYYMMDD","   TG","   TN","   TX"," T10N","   RH","   PG","   PX","   PN","   UG","   UX","   UN"," EV24",,,,,
2021-06-23 05:13:25,"102.213",0,"47.0439453125","19.57",,,,2021-07-04,"18.3","16.3",24,"16.1",48,"100.96","101.18","100.77",90,98,67,25,,,,,
2021-06-23 06:13:01,"102.304",0,"47.33984375","19.36",,,,2021-07-05,"17.2","14.1","20.7","14.1",60,"100.78","100.87","100.54",85,98,68,27,,,,,
2021-06-23 06:33:22,"102.246",0,"44.939453125","18.84",,,,2021-07-06,"17.9","13.1","22.3","12.3",18,"100.54","101.1","100.2",79,90,56,24,,,,,
2021-06-23 06:53:58,"102.217",0,"44.5693359375","18.46",,,,2021-07-07,"17.2","12.4","23.3","11.7",44,"101.5","101.89","101.13",83,99,59,36,,,,,
2021-06-23 07:14:19,"102.131",0,"45.1298828125","18.25",,,,2021-07-08,"17.9","11.2","23.6","9.5",7,"102.04","102.19","101.89",85,99,64,27,,,,,
2021-06-23 07:34:39,"102.093",0,"44.7490234375","18.09",,,,2021-07-09,"18.4","13.9","23.4","13.1",0,"102.07","102.19","101.96",80,98,56,42,,,,,
2021-06-23 07:54:58,0,,,,,,,2021-07-10,"17.9","12.7","22.6","12.3",-1,"101.66","101.92","101.48",82,98,60,28,,,,,
2021-06-23 07:57:27,"102.095",0,"45.798828125","18.02",,,,2021-07-11,"19.6","14.2","24.8","13.9",3,"101.58","101.69","101.43",81,98,60,37,,,,,
2021-06-23 08:17:47,"102.122","5.25","46.3984375","17.66",,,,2021-07-12,"20.3","16.7","24.2","16.5",5,"101.14","101.4","100.97",86,99,66,28,,,,,
2021-06-23 08:28:51,0,,,,,,,2021-07-13,"19.6","17.9","21.2","17.8",8,"101.03","101.09","100.92",95,99,88,15,,,,,
2021-06-23 08:35:14,0,,,,,,,2021-07-14,"20.1","18.1","23.5","18.2",187,"100.99","101.08","100.86",93,98,83,20,,,,,
2021-06-23 08:35:18,"102.13","146.22","56.349609375","18.04",,,,2021-07-15,"18.4","16.3","19.9","16.1",44,"101.52","101.97","101.08",92,98,82,12,,,,,
2021-06-23 09:12:06,0,,,,"15.4","10.16","0.045",2021-07-16,"17.3",15,"20.5","14.7",-1,"102.23","102.48","101.98",84,97,76,20,,,,,
2021-06-23 09:29:49,"102.145","242.01","57.56640625","18.16",,,,2021-07-17,"19.3","13.9","24.5","13.5",0,"102.52","102.61","102.46",80,98,58,49,,,,,
2021-06-23 09:47:55,"102.149","210.29","56.7578125","18.66",,,,2021-07-18,"19.1","13.8","25.8","13.7",0,"102.32","102.42","102.23",83,99,62,44,,,,,
2021-06-23 09:48:02,0,,,,"15.34","10.29","0.046",2021-07-19,"16.2","10.8","20.9",10,0,"102.21","102.31","102.1",81,97,58,32,,,,,
2021-06-23 10:05:45,"102.163","155.35","58.0361328125","17.51",,,,2021-07-20,17,"11.2","22.1","10.7",0,"102.19","102.31","102.13",75,97,53,31,,,,,
2021-06-23 10:24:22,0,,,,"15.34","10.16","0.047",2021-07-21,18,"10.6","23.3","10.3",0,"102.34","102.42","102.27",81,98,57,28,,,,,
2021-06-23 10:42:31,0,,,,"15.37","10.26","0.047",2021-07-22,"16.7","10.8",22,"9.8",0,"102.23","102.35","102.11",78,98,54,37,,,,,
2021-06-23 11:18:52,0,,,,"15.34","10.37","0.047",2021-07-23,"16.2","10.9","20.2","10.1",0,"101.8","102.09","101.45",85,98,70,19,,,,,
2021-06-23 11:36:18,"102.16","413.65","54.8173828125","20.34",,,,2021-07-24,"18.8","11.2","24.6","10.2",237,101,"101.44","100.67",83,98,63,31,,,,,
2021-06-23 11:36:37,0,,,,"15.37","10.29","0.047",2021-07-25,"19.4",16,"24.7","15.7",129,"100.79","100.96","100.61",89,98,69,27,,,,,
2021-06-23 11:56:59,"102.167","531.18","51.6171875","22.16",,,,2021-07-26,"19.5","14.4","24.8","13.6",2,"100.95","101.04","100.88",83,99,62,40,,,,,
2021-06-23 12:00:16,0,,,,"15.37","10.26","0.047",2021-07-27,"18.7","15.5","23.4","15.2",35,"101.02","101.12","100.93",86,98,67,32,,,,,
2021-06-23 12:23:24,"102.137","784.82","44.2451171875","26.06",,,,2021-07-28,"17.3","14.4","21.6","13.8",8,"100.82","100.9","100.72",86,98,68,21,,,,,
2021-06-23 12:26:41,0,,,,"15.4","10.24","0.047",2021-07-29,"16.6","11.8","20.8","10.9",9,"100.88","101.03","100.66",71,94,47,37,,,,,
2021-06-23 12:47:06,"102.121","495.91","38.625","30.19",,,,2021-07-30,"16.6","11.3","22.7","10.5",93,"100.65","100.93","100.32",80,97,59,28,,,,,
2021-06-23 12:50:23,0,,,,"15.45","10.32","0.047",2021-07-31,"16.8","13.7","20.9","13.2",38,"100.54","100.88","100.17",85,98,69,26,,,,,
2021-06-23 13:10:48,"102.112","502.43","36.8857421875","28.96",,,,2021-08-01,15,"11.4",19,"10.6",86,"100.91","101.18","100.76",92,98,76,16,,,,,
2021-06-23 13:14:06,0,,,,"15.68","10.13","0.047",2021-08-02,"15.1","9.8","20.1","9.1",-1,"101.36","101.52","101.16",81,99,54,33,,,,,
2021-06-23 13:36:04,0,,,,"15.51","10.32","0.047",2021-08-03,"15.1","7.8",20,"7.5",0,"101.4","101.47","101.31",78,99,52,28,,,,,
2021-06-23 13:55:09,"102.137","287.79","41.0908203125","25.4",,,,2021-08-04,"16.6","11.1","21.8",10,0,"101.37","101.5","101.26",78,96,59,32,,,,,
2021-06-23 14:18:48,"102.155","352.86","45.3134765625","22.88",,,,2021-08-05,"17.8","11.7","23.9","11.2",0,"100.81","101.22","100.32",80,97,51,38,,,,,
2021-06-23 14:22:06,0,,,,"15.63","10.34","0.047",2021-08-06,"17.8","13.8","21.4","13.2",42,"100.21","100.36","100.11",86,98,70,26,,,,,
2021-06-23 15:06:08,"102.158","475.94","43.912109375","24.54",,,,2021-08-07,"17.3","13.9","22.4","13.3",31,"100.17","100.33","99.97",81,97,60,28,,,,,
2021-06-23 15:09:25,0,,,,"15.83","10.34","0.047",2021-08-08,"16.5","14.2","19.8","13.7",79,"100.69","101.18","100.07",83,97,62,26,,,,,
2021-06-23 15:29:48,"102.133","356.04","44.2626953125","24.24",,,,2021-08-09,16,13,"20.5","12.6",41,"101.39","101.5","101.22",86,96,66,24,,,,,
2021-06-23 15:33:02,0,,,,"15.88","10.21","0.047",2021-08-10,"16.1","11.1","20.8","10.1",39,"101.56","101.79","101.44",88,99,63,24,,,,,
2021-06-23 15:53:47,0,,,,"15.97","10.34","0.047",2021-08-11,"17.2","9.4","24.2","8.7",0,"101.89","101.97","101.79",81,99,54,38,,,,,
2021-06-23 16:14:08,"102.129","259.38","48.095703125","21.29",,,,2021-08-12,"18.7","11.3","24.9","10.6",-1,"101.92","101.98","101.86",81,99,57,37,,,,,
2021-06-23 16:17:26,0,,,,"16.05","10.32","0.047",2021-08-13,"17.4","12.1","21.7","11.1",0,"102.05","102.17","101.91",83,99,64,28,,,,,
2021-06-23 16:41:04,0,,,,"16.14","10.24","0.048",2021-08-14,"17.5","12.8","22.5",12,0,"101.91","102.08","101.65",80,97,56,31,,,,,
2021-06-23 17:01:24,0,,,,,,,2021-08-15,19,"14.2","25.3","13.7",0,"101.19","101.65","100.77",77,93,54,36,,,,,
2021-06-23 17:03:53,"102.15","271.43","52.697265625","19.38",,,,2021-08-16,"15.7","13.1","17.9","12.9",100,"100.98","101.4","100.63",82,96,56,21,,,,,
2021-06-23 17:07:11,0,,,,"16.22","10.24","0.048",2021-08-17,"15.4","12.2","18.7","11.7",-1,"101.46","101.52","101.41",84,97,72,20,,,,,
2021-06-23 17:27:31,"102.136","197.85","53.7578125","18.92",,,,2021-08-18,"16.7","13.6","20.1","13.1",-1,"101.33","101.43","101.19",85,97,70,18,,,,,
2021-06-23 17:29:53,0,,,,"16.36","10.24","0.047",2021-08-19,"16.2","14.9","18.3","14.8",27,"101.27","101.42","101.13",95,98,87,7,,,,,
2021-06-23 17:48:08,"102.15","169.25","55.29296875","17.93",,,,2021-08-20,"17.1","12.6","21.8","12.2",1,"101.61","101.84","101.38",90,99,74,19,,,,,
2021-06-23 17:51:25,0,,,,"16.34","10.29","0.048",2021-08-21,"17.9","11.9","22.8","11.4",0,"101.74","101.89","101.4",88,99,66,22,,,,,
2021-06-23 18:11:45,"102.148","104.63","57.4169921875","16.92",,,,2021-08-22,18,"14.7","21.6","14.4",71,"101.47",102,"101.27",92,99,79,21,,,,,
2021-06-23 18:15:02,0,,,,"16.45","10.26","0.047",2021-08-23,"17.5",12,"22.2","11.1",0,"102.47","102.82","102.06",78,96,53,36,,,,,
2021-06-23 18:35:22,"102.156","88.71","60.3603515625","15.89",,,,2021-08-24,"16.3","11.1","22.1","9.7",0,"102.85","102.96","102.75",81,98,47,33,,,,,
2021-06-23 18:38:39,0,,,,"16.5","10.26","0.048",2021-08-25,"15.1","8.8","20.3","8.2",6,"102.15","102.7","101.56",87,100,64,22,,,,,
2021-06-23 18:58:58,"102.159","46.34","62.263671875","15.08",,,,2021-08-26,"15.9","12.8","20.7","12.1",77,"101.5","101.69","101.39",79,96,58,24,,,,,
2021-06-23 19:02:16,0,,,,"16.59","10.32","0.048",2021-08-27,15,"12.9","19.2","12.3",35,"101.74","101.89","101.65",89,97,72,20,,,,,
2021-06-23 19:22:35,"102.165","16.23","65.4677734375","14.12",,,,2021-08-28,"16.2","14.1","19.2","13.6",0,"102.02","102.13","101.89",85,97,74,16,,,,,
2021-06-23 19:25:52,0,,,,"16.62","10.26","0.048",2021-08-29,"16.2","14.7","18.6","14.5",22,"101.94","102.05","101.86",92,98,87,9,,,,,
2021-06-23 19:43:53,"102.191","6.88","68.0302734375","13.45",,,,2021-08-30,"17.5",13,"21.7","12.3",-1,"102.12","102.34","101.99",85,98,66,28,,,,,
2021-06-23 19:46:10,0,,,,"16.62","10.26","0.048",2021-08-31,"16.3","12.9","20.9","12.2",0,"102.55","102.75","102.35",85,98,70,24,,,,,
2021-06-23 20:06:29,"102.199","2.75","69.36328125","13.05",,,,2021-09-01,"15.4","9.4","18.2","8.8",0,"102.82","102.89","102.73",85,99,71,10,,,,,
2021-06-23 20:09:46,0,,,,"16.64","10.24","0.048",2021-09-02,"14.1","7.2","21.3","6.7",0,"102.71","102.86","102.51",86,99,61,23,,,,,
2021-06-23 20:30:05,"102.225","0.33","70.9306640625","12.67",,,,2021-09-03,"14.2","8.2","20.6","7.6",0,"102.21","102.47","102.04",88,99,72,30,,,,,
2021-06-23 20:33:22,0,,,,"16.64","10.37","0.048",2021-09-04,"15.1","10.2","20.4","8.9",0,"102.02","102.11","101.92",81,98,63,26,,,,,
2021-06-23 20:53:40,"102.202","0.02","72.716796875","12.27",,,,2021-09-05,"14.2","6.9","21.2","6.6",0,"102.25","102.37","102.13",87,99,67,31,,,,,
2021-06-23 20:56:58,0,,,,"16.67","10.32","0.047",2021-09-06,"15.3","6.5","23.2",6,0,"102.45","102.53","102.34",82,100,48,26,,,,,
2021-06-23 21:17:16,"102.191",0,"73.30078125","11.97",,,,2021-09-07,"17.9","12.4",25,"11.9",0,"102.35","102.48","102.15",80,98,55,28,,,,,
2021-06-23 21:20:34,0,,,,"16.7","10.32","0.047",2021-09-08,"18.9","11.9","26.1","10.4",0,"101.69","102.11","101.27",73,97,48,32,,,,,
2021-06-23 21:40:51,0,,,,,,,2021-09-09,"19.8","12.3",27,"10.1",-1,"101.05","101.23","100.94",80,98,55,30,,,,,
2021-06-23 21:43:13,"102.174",0,"75.1298828125","11.29",,,,2021-09-10,"19.4","16.1","24.8","15.7",32,"101.24","101.42","101.09",94,99,71,14,,,,,
2021-06-23 21:43:22,0,,,,"16.56","10.26","0.048",2021-09-11,"17.8","15.3","20.2","14.9",29,"101.53","101.69","101.38",96,98,86,9,,,,,
2021-06-23 22:03:40,"102.166",0,"75.31640625","10.63",,,,2021-09-12,"15.9","12.7","20.5","11.9",-1,"101.73","101.85","101.63",91,98,67,15,,,,,
2021-06-23 22:06:41,0,,,,"16.64","10.4","0.048",2021-09-13,"15.1","10.5","18.9","9.3",-1,"101.89","102.04","101.78",86,99,66,17,,,,,
2021-06-23 22:26:58,"102.17",0,"74.20703125","9.27",,,,2021-09-14,"16.5","9.2","22.3",8,3,"101.46","101.78","101.07",85,98,63,24,,,,,
2021-06-23 22:50:16,"102.17",0,"74.60546875","8.17",,,,2021-09-15,"17.7","14.8","21.6","14.1",-1,"101.08","101.32","100.96",90,99,71,11,,,,,
2021-06-23 22:53:18,0,,,,"16.56","10.24","0.048",2021-09-16,"15.6","12.2","19.7","11.1",3,"101.55","101.74","101.31",88,98,66,16,,,,,
2021-06-23 23:13:34,"102.219",0,"75.4111328125","7.35",,,,2021-09-17,15,"10.3","20.1","9.3",-1,"101.61","101.7","101.52",90,99,69,12,,,,,
2021-06-23 23:16:36,0,,,,"16.59","10.29","0.047",2021-09-18,"14.3","8.5","20.6","7.6",0,"101.74","101.85","101.66",85,99,61,22,,,,,
2021-06-23 23:36:52,"102.196",0,"76.1005859375","6.76",,,,2021-09-19,"14.2","9.5","18.1","8.1",0,"101.73","101.95","101.64",82,92,67,15,,,,,
2021-06-23 23:39:44,0,,,,"16.5","10.32","0.048",2021-09-20,"10.5","4.4","16.3","3.6",0,"102.34","102.8","101.96",83,98,53,13,,,,,
2021-06-23 23:57:08,"102.194",0,"76.1298828125","6.18",,,,2021-09-21,13,"6.4","18.1","5.9",0,"102.93","103.02","102.75",84,99,58,17,,,,,
2021-06-24 00:00:10,0,,,,"16.48","10.26","0.047",2021-09-22,"13.7","7.6","20.9","5.9",0,"102.64","102.91","102.15",87,99,58,19,,,,,
2021-06-24 00:20:26,"102.2",0,"76.6103515625","5.8",,,,2021-09-23,"14.4","10.1","18.4","8.9",6,"101.63","102.07","101.41",88,98,73,11,,,,,
2021-06-24 00:23:27,0,,,,"16.45","10.34","0.047",2021-09-24,"16.9","12.3","20.8","11.8",-1,"101.43","101.56","101.31",84,97,72,10,,,,,
2021-06-24 00:43:43,"102.189",0,"77.1328125","5.54",,,,,,,,,,,,,,,,,,,,,
2021-06-24 00:46:44,0,,,,"16.34","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 01:07:00,"102.193",0,"77.6279296875","5.42",,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:10:01,0,,,,"16.28","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 01:30:18,"102.22",0,"80.9384765625","6.34",,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:33:19,0,,,,"16.31","10.32","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 01:53:27,"102.2",0,"81.16796875","7.28",,,,,,,,,,,,,,,,,,,,,
2021-06-24 01:53:35,0,,,,"16.17","10.24","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 02:13:52,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:16:20,"102.204","0.02","79.37109375","6.77",,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:19:38,0,,,,"16.11","10.29","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 02:39:54,"102.176","0.28","79.0048828125","6.39",,,,,,,,,,,,,,,,,,,,,
2021-06-24 02:43:12,0,,,,"16.02","10.32","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 03:03:28,"102.198","2.69","79.474609375","6.07",,,,,,,,,,,,,,,,,,,,,
2021-06-24 03:06:46,0,,,,"15.97","10.34","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 03:27:02,"102.139","12.15","80.384765625","6.49",,,,,,,,,,,,,,,,,,,,,
2021-06-24 03:30:20,0,,,,"15.88","10.21","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 03:52:38,0,,,,"15.8","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 04:14:26,0,,,,"15.71","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 04:34:43,"102.091","50.05","80.4111328125","6.88",,,,,,,,,,,,,,,,,,,,,
2021-06-24 04:38:00,0,,,,"15.65","10.21","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 04:58:17,"102.129","66.41","81.107421875","8.02",,,,,,,,,,,,,,,,,,,,,
2021-06-24 05:01:35,0,,,,"15.57","10.34","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 05:21:52,"102.121","127.57","82.9775390625","9.88",,,,,,,,,,,,,,,,,,,,,
2021-06-24 05:25:09,0,,,,"15.48","10.34","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 05:45:27,"102.142","153.21","84.099609375","11.82",,,,,,,,,,,,,,,,,,,,,
2021-06-24 06:06:26,"102.117","208.83","83.873046875","13.49",,,,,,,,,,,,,,,,,,,,,
2021-06-24 06:09:03,0,,,,"15.34","10.34","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 06:29:22,"102.101","310.73","82.6396484375","16.36",,,,,,,,,,,,,,,,,,,,,
2021-06-24 06:32:39,0,,,,"15.25","10.4","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 06:52:58,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 06:55:27,"102.099","241.55","75.8740234375","18.32",,,,,,,,,,,,,,,,,,,,,
2021-06-24 07:19:04,"102.095","310.16","70.919921875","18.04",,,,,,,,,,,,,,,,,,,,,
2021-06-24 07:22:22,0,,,,"15.11","10.24","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 07:42:42,"102.092","286.82","64.4521484375","18.79",,,,,,,,,,,,,,,,,,,,,
2021-06-24 07:45:59,0,,,,"15.05","10.32","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 08:05:54,"102.086","380.28","56.7958984375","21.74",,,,,,,,,,,,,,,,,,,,,
2021-06-24 08:06:20,0,,,,"15.02","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 08:26:42,"102.082","307.97","54.1142578125","22.06",,,,,,,,,,,,,,,,,,,,,
2021-06-24 08:29:59,0,,,,"14.99","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 08:50:20,"102.088","440.86","53.9609375","21.85",,,,,,,,,,,,,,,,,,,,,
2021-06-24 08:53:38,0,,,,"14.97","10.21","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 09:13:59,"102.07","401.52","53.71875","21.73",,,,,,,,,,,,,,,,,,,,,
2021-06-24 09:17:17,0,,,,"14.97","10.32","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 09:37:39,"102.062","427.55","50.388671875","23.16",,,,,,,,,,,,,,,,,,,,,
2021-06-24 09:40:56,0,,,,"14.94","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 10:01:19,"102.058","480.68","47.068359375","24.94",,,,,,,,,,,,,,,,,,,,,
2021-06-24 10:04:36,0,,,,"14.97","10.18","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 10:22:54,"102.055","481.77","45.4638671875","25.74",,,,,,,,,,,,,,,,,,,,,
2021-06-24 10:24:59,0,,,,"14.99","10.26","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 10:45:23,"102.045","498.92","41.353515625","27.91",,,,,,,,,,,,,,,,,,,,,
2021-06-24 10:48:40,0,,,,"15.02","10.34","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 11:09:03,"102.026","352.59","43.845703125","25.76",,,,,,,,,,,,,,,,,,,,,
2021-06-24 11:12:21,0,,,,"15.05","10.16","0.047",,,,,,,,,,,,,,,,,,
2021-06-24 11:35:12,"102.025","510.69","46.6376953125","25.46",,,,,,,,,,,,,,,,,,,,,
2021-06-24 11:38:29,0,,,,"15.17","10.24","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 12:22:38,"101.992","997.13","33.9326171875","33.13",,,,,,,,,,,,,,,,,,,,,
2021-06-24 12:22:46,0,,,,"15.25","10.21","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 12:46:37,0,,,,"15.4","10.24","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 13:07:04,"101.963","1492.07","34.146484375","33.62",,,,,,,,,,,,,,,,,,,,,
2021-06-24 13:30:47,"101.964","438.78","34.419921875","31.14",,,,,,,,,,,,,,,,,,,,,
2021-06-24 13:34:05,0,,,,"15.54","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 13:54:29,"101.972","457.24","37.7333984375","28.63",,,,,,,,,,,,,,,,,,,,,
2021-06-24 13:57:47,0,,,,"15.6","10.24","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 14:18:11,"101.952","538.77","40.0498046875","28.16",,,,,,,,,,,,,,,,,,,,,
2021-06-24 14:19:58,0,,,,"15.77","10.13","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 14:38:53,"101.95","330.03","36.193359375","30.1",,,,,,,,,,,,,,,,,,,,,
2021-06-24 14:42:10,0,,,,"15.85","10.13","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 15:02:35,"101.934","531.66","37.9306640625","28.46",,,,,,,,,,,,,,,,,,,,,
2021-06-24 15:05:53,0,,,,"15.97","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 15:29:34,0,,,,"16.14","10.21","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 15:53:15,0,,,,"16.22","10.13","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 16:13:38,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 16:17:05,0,,,,"16.36","10.24","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 16:36:47,"101.845","629.54","42.9814453125","27.14",,,,,,,,,,,,,,,,,,,,,
2021-06-24 17:03:45,0,,,,"16.56","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 17:24:08,"101.831","137.87","45.669921875","23.9",,,,,,,,,,,,,,,,,,,,,
2021-06-24 17:27:25,0,,,,"16.7","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 17:47:47,"101.832","100.61","50.9169921875","21.34",,,,,,,,,,,,,,,,,,,,,
2021-06-24 17:51:04,0,,,,"16.78","10.26","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 18:11:25,"101.832","60.45","55.6357421875","19.41",,,,,,,,,,,,,,,,,,,,,
2021-06-24 18:14:03,0,,,,"16.84","10.08","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 18:32:02,"101.833","69.88","59.787109375","18.41",,,,,,,,,,,,,,,,,,,,,
2021-06-24 18:35:19,0,,,,"16.9","10.1","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 18:58:57,0,,,,"16.95","10.08","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 19:19:16,"101.836","24.59","67.044921875","15.81",,,,,,,,,,,,,,,,,,,,,
2021-06-24 19:42:53,"101.832","11.05","70.0771484375","14.17",,,,,,,,,,,,,,,,,,,,,
2021-06-24 19:46:10,0,,,,"17.06","10.13","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 20:09:46,0,,,,"17.12","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 20:28:02,"101.871","0.35","74.45703125","12.43",,,,,,,,,,,,,,,,,,,,,
2021-06-24 20:30:04,0,,,,"17.12","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 20:50:22,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24 20:56:08,0,,,,"17.15","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 21:19:43,0,,,,"17.17","10.1","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 21:40:01,"101.878",0,"75.98046875","10.37",,,,,,,,,,,,,,,,,,,,,
2021-06-24 21:43:02,0,,,,"17.17","10.16","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 22:03:20,"101.866",0,"79.5185546875","10.72",,,,,,,,,,,,,,,,,,,,,
2021-06-24 22:06:21,0,,,,"17.17","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 22:26:39,"101.874",0,"76.966796875","10.32",,,,,,,,,,,,,,,,,,,,,
2021-06-24 22:27:20,0,,,,"17.15","10.13","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 22:46:56,"101.881",0,"76.2041015625","9.37",,,,,,,,,,,,,,,,,,,,,
2021-06-24 22:49:57,0,,,,"17.12","10.1","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 23:13:15,0,,,,"17.09","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 23:33:32,"101.874",0,"76.2060546875","7.63",,,,,,,,,,,,,,,,,,,,,
2021-06-24 23:36:33,0,,,,"17.04","10.29","0.046",,,,,,,,,,,,,,,,,,
2021-06-24 23:56:50,"101.853",0,"76.4365234375","6.99",,,,,,,,,,,,,,,,,,,,,
2021-06-24 23:59:51,0,,,,"17.01","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-25 00:23:08,0,,,,"16.95","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-25 00:41:05,"101.843",0,"77.42578125","6.07",,,,,,,,,,,,,,,,,,,,,
2021-06-25 00:43:25,0,,,,"16.9","10.29","0.046",,,,,,,,,,,,,,,,,,
2021-06-25 01:03:41,"101.823",0,"77.7802734375","5.91",,,,,,,,,,,,,,,,,,,,,
2021-06-25 01:06:42,0,,,,"16.84","10.18","0.046",,,,,,,,,,,,,,,,,,
2021-06-25 01:26:58,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25 01:29:27,"101.815",0,"77.7109375","5.46",,,,,,,,,,,,,,,,,,,,,
2021-06-25 01:32:28,0,,,,"16.76","10.16","0.046",,,,,,,,,,,,,,,,,,
